video_name,original_frames,final_frames,output_npy
ENCONTRAR_ORACION_3,113,90,./full_videos_output/ENCONTRAR_ORACION_3_full.npy
ENGAеAR_ORACION_1,101,98,./full_videos_output/ENGAеAR_ORACION_1_full.npy
ENGAеAR_ORACION_2,69,49,./full_videos_output/ENGAеAR_ORACION_2_full.npy
ENGORDAR_ORACION_1,111,46,./full_videos_output/ENGORDAR_ORACION_1_full.npy
ENTENDER_ORACION_1,136,63,./full_videos_output/ENTENDER_ORACION_1_full.npy
ENTENDER_ORACION_2,101,66,./full_videos_output/ENTENDER_ORACION_2_full.npy
ENTRAR_ORACION_1,120,72,./full_videos_output/ENTRAR_ORACION_1_full.npy
ENTRAR_ORACION_2,97,62,./full_videos_output/ENTRAR_ORACION_2_full.npy
ESCONDER_ORACION_1,162,105,./full_videos_output/ESCONDER_ORACION_1_full.npy
ESPERAR_ORACION_1,96,100,./full_videos_output/ESPERAR_ORACION_1_full.npy
ESPERAR_ORACION_2,121,120,./full_videos_output/ESPERAR_ORACION_2_full.npy
ESPERAR_ORACION_3,106,102,./full_videos_output/ESPERAR_ORACION_3_full.npy
ESPERAR_ORACION_4,106,60,./full_videos_output/ESPERAR_ORACION_4_full.npy
ESTAR-BIEN_ORACION_1,130,140,./full_videos_output/ESTAR-BIEN_ORACION_1_full.npy
ESTAR-BIEN_ORACION_2,155,101,./full_videos_output/ESTAR-BIEN_ORACION_2_full.npy
ESTAR-BIEN_ORACION_3,95,45,./full_videos_output/ESTAR-BIEN_ORACION_3_full.npy
FALTAR_ORACION_1,118,61,./full_videos_output/FALTAR_ORACION_1_full.npy
FALTAR_ORACION_2,122,106,./full_videos_output/FALTAR_ORACION_2_full.npy
FELIZ_ORACION_1,109,96,./full_videos_output/FELIZ_ORACION_1_full.npy
FELIZ_ORACION_2,87,65,./full_videos_output/FELIZ_ORACION_2_full.npy
FELIZ_ORACION_3,109,63,./full_videos_output/FELIZ_ORACION_3_full.npy
FIN_ORACION_1,115,63,./full_videos_output/FIN_ORACION_1_full.npy
FIN_ORACION_2,94,67,./full_videos_output/FIN_ORACION_2_full.npy
FIN_ORACION_3,124,93,./full_videos_output/FIN_ORACION_3_full.npy
FLACO_ORACION_1,82,37,./full_videos_output/FLACO_ORACION_1_full.npy
FLACO_ORACION_2,82,53,./full_videos_output/FLACO_ORACION_2_full.npy
FLACO_ORACION_3,142,82,./full_videos_output/FLACO_ORACION_3_full.npy
FLACO_ORACION_4,111,71,./full_videos_output/FLACO_ORACION_4_full.npy
FORTACHON_ORACION_1,105,74,./full_videos_output/FORTACHON_ORACION_1_full.npy
FORTACHON_ORACION_2,90,60,./full_videos_output/FORTACHON_ORACION_2_full.npy
FORTACHON_ORACION_3,116,58,./full_videos_output/FORTACHON_ORACION_3_full.npy
FREGADO_ORACION_1,96,54,./full_videos_output/FREGADO_ORACION_1_full.npy
FREGADO_ORACION_2,157,145,./full_videos_output/FREGADO_ORACION_2_full.npy
FRIO_ORACION_1,119,105,./full_videos_output/FRIO_ORACION_1_full.npy
FRIO_ORACION_2,102,50,./full_videos_output/FRIO_ORACION_2_full.npy
FRIO_ORACION_3,154,91,./full_videos_output/FRIO_ORACION_3_full.npy
FUNDAR_ORACION_1,319,304,./full_videos_output/FUNDAR_ORACION_1_full.npy
FUNDAR_ORACION_2,221,169,./full_videos_output/FUNDAR_ORACION_2_full.npy
FUTURO_ORACION_1,117,67,./full_videos_output/FUTURO_ORACION_1_full.npy
FUTURO_ORACION_2,117,74,./full_videos_output/FUTURO_ORACION_2_full.npy
FUTURO_ORACION_3,113,66,./full_videos_output/FUTURO_ORACION_3_full.npy
GORDO_ORACION_1,89,35,./full_videos_output/GORDO_ORACION_1_full.npy
GORDO_ORACION_2,92,30,./full_videos_output/GORDO_ORACION_2_full.npy
GORRO_ORACION_1,190,131,./full_videos_output/GORRO_ORACION_1_full.npy
GORRO_ORACION_2,247,164,./full_videos_output/GORRO_ORACION_2_full.npy
GORRO_ORACION_3,231,187,./full_videos_output/GORRO_ORACION_3_full.npy
HACER_ORACION_1,232,192,./full_videos_output/HACER_ORACION_1_full.npy
HELICOPTERO_ORACION_1,153,81,./full_videos_output/HELICOPTERO_ORACION_1_full.npy
HIJO_ORACION_2,153,108,./full_videos_output/HIJO_ORACION_2_full.npy
HIJO_ORACION_3,244,203,./full_videos_output/HIJO_ORACION_3_full.npy
HISTORIA_ORACION_1,203,135,./full_videos_output/HISTORIA_ORACION_1_full.npy
HOLA_ORACION_1,167,114,./full_videos_output/HOLA_ORACION_1_full.npy
HOMBRE_ORACION_1,199,151,./full_videos_output/HOMBRE_ORACION_1_full.npy
HOY_ORACION_1,108,48,./full_videos_output/HOY_ORACION_1_full.npy
HOY_ORACION_2,112,69,./full_videos_output/HOY_ORACION_2_full.npy
IGUAL_ORACION_1,198,165,./full_videos_output/IGUAL_ORACION_1_full.npy
IGUAL_ORACION_2,172,100,./full_videos_output/IGUAL_ORACION_2_full.npy
IGUAL_ORACION_3,216,174,./full_videos_output/IGUAL_ORACION_3_full.npy
IGUAL_ORACION_5,223,154,./full_videos_output/IGUAL_ORACION_5_full.npy
IGUAL_ORACION_6,211,153,./full_videos_output/IGUAL_ORACION_6_full.npy
IGUAL_ORACION_8,280,242,./full_videos_output/IGUAL_ORACION_8_full.npy
INFIEL_ORACION_1,255,137,./full_videos_output/INFIEL_ORACION_1_full.npy
IR_ORACION_1,96,58,./full_videos_output/IR_ORACION_1_full.npy
